title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
Chief Minister Help Scheme,,['Social welfare & Empowerment'],"Launched on 02-10-2019, the Chief Minister Help Scheme under the Tribal Welfare and Scheduled Caste (SC) Department, Madhya Pradesh, provides food distribution and material aid to Scheduled Tribe beneficiaries whose family members are not in government service.",,[],cmhs,"['Children', 'Birth', 'Death', 'Family']",Search
"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",Ministry of Education,['Education & Learning'],"AICTE-SPICES scheme provides financial support to institutions for developing students' clubs for the well-rounded development of students by promoting their interests, creativity, and ethics. This club should serve as a model for other clubs in the institution and also those in other institutions.",,[],aicte-spices,"['Student', 'Institution']",Search
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Net SGST Reimbursement,,['Business & Entrepreneurship'],"The ""Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector""  aims to provide incentives to attract increased investments in the manufacturing sector to create more employment opportunities in Gujarat.",,[],agslitsngr,"['Business', 'Entrepreneurship', 'Large Industries', 'Thrust Sector', 'Net SGST Reimbursement']",Search
Kisan Samriddhi Yojana Jharkhand,,"['Agriculture,Rural & Environment']","The ""Kisan Samriddhi Yojana"" by the Department of Agriculture, Animal Husbandry & Cooperative, Government of Jharkhand, promotes solar-powered irrigation systems to reduce agricultural costs and dependency on fossil fuels. Farmers receive up to 90% subsidy for solar units under this initiative.",,[],ksyj,"['Farmers', 'Subsidy', 'Solar Units', 'Self-help Group']",Search
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Assistance of Interest Subsidy,,['Business & Entrepreneurship'],"The ""Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector""  aims to provide incentives to attract increased investments in the manufacturing sector to create more employment opportunities in Gujarat.",,[],agslitsis,"['Business', 'Entrepreneurship', 'Large Industries', 'Thrust Sector', 'Interest Subsidy']",Search
Distribution of Kerosene Oil Scheme,,['Social welfare & Empowerment'],"The ""Distribution of Kerosene Oil Scheme"" by the Department of Food, Public Distribution and Consumer Affairs, Government of Jharkhand, supports NFSA beneficiaries and others by providing 1 liter of kerosene oil at subsidized rates.",,[],dokos,"['Kerosene Oil', 'Subsidized Rate', 'National Food Security Act']",Search
Banglar Awaas Yojana (BAY),,['Housing & Shelter'],"""Banglar Awaas Yojana (BAY)"" provides financial assistance to houseless households and those living in kutcha or dilapidated houses, helping them build pucca houses with essential amenities. The scheme offers financial assistance with additional support for toilets and unskilled workdays.",,[],bay,"['Housing', 'Citizen Empowerment']",Search
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Integrated Rehabilitation Centre For Addicts (IRCA) For Providing Rehabilitation Services To Alcoholics And Drug Users,Ministry Of Social Justice and Empowerment,['Social welfare & Empowerment'],"The Scheme of ""National Awards for Outstanding Services in the field of Prevention of Alcoholism and Substance (Drug) Abuse"" by the MoSJE, GoI shall be applicable to Institutions and Individuals working in the field of Prevention of Alcoholism and Substance (Drug) Abuse.",,[],naospasa-bircarsadu,"['Rehabilitation', 'Drug Abuse', 'Alcoholism', 'Award']",Search
Free Bicycle Distribution Scheme,,['Education & Learning'],"The ""Free Bicycle Distribution Scheme"" by the Welfare Department, Government of Jharkhand, aims to provide financial aid for bicycle purchases to Scheduled Caste (SC) students studying in Class 8th. Each student receives ₹3000 through DBT.",,[],fbds,"['Financial Assistance', 'Bicycle', 'Student', 'Scheduled Caste']",Search
Financial Assistance for Marriage (HPBOCWWB),,['Social welfare & Empowerment'],"The Financial Assistance for Marriage scheme under the Himachal Pradesh Building and Other Construction Workers Welfare Board provides ₹51,000/- for the marriage of a registered unmarried beneficiary and ₹51,000/- per child for the marriage of up to two children of a married beneficiary.",,[],fafmhpbocwwb,"['Construction Workers', 'Building Worker', 'Labour', 'Marriage', 'Financial Support']",Search
AICTE - Grant For Augmenting Infrastructure In North Eastern Region,Ministry of Education,"['Education & Learning', 'Transport & Infrastructure']","The scheme ""AICTE - Grant for Augmenting Infrastructure in North Eastern Region (GAINER)"" was introduced by AICTE to enhance the functional efficiency of the technical institutes located in far-flung areas of North East India, by addressing deficiencies in water, electricity, and internet.",,[],a-gainer,"['Grant', 'Infrastructure']",Search
"Strengthening Skills, Arts and Employment through ITIs",,['Skills & Employment'],"The ""Strengthening Skills, Arts, and Employment through ITIs"" initiative by the Department of De-notified, Nomadic, and Semi-Nomadic Welfare, Government of Madhya Pradesh, aims to connect these skills with modern technology, short-term, employment-oriented training has been provided through ITIs.",,[],skaaeti,"['Student', 'Employment', 'Nomadic', 'Training', 'Skill', 'Arts']",Search
Scheme of Assistance for Common Environment Infrastructure: Common Boiler Project by SPV Constituted by Minimum 10 MSMEs,,['Business & Entrepreneurship'],"The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance.",,[],saceicbspv,['Entrepreneurship'],Search
Gopal Incentive Scheme,,"['Agriculture,Rural & Environment']","The ""Gopal Incentive Scheme"" by the Animal Husbandry Department, Government of Madhya Pradesh, promotes the rearing of Indian high-breed cattle and boosts milk production, benefiting animal breeders and livestock farmers with access to Indian advanced breed cows.",,[],gis,"['Cows', 'Animal', 'Awards', 'Farmers']",Search
Excellent Work Award Scheme for Social Worker of De-Notified Communities,,['Social welfare & Empowerment'],"The ""Excellent Work Award Scheme for Social Workers of De-notified Communities"" by the Government of Madhya Pradesh awards ₹1,00,000/- to a social worker from De-notified, Nomadic, and Semi-Nomadic communities for outstanding contributions to their social and economic upliftment.",,[],ewasfswodnc,"['Award', 'Social Worker', 'Financial Assistance', 'Denotified']",Search
Hostel Facility Scheme (HPBOCWWB),,['Housing & Shelter'],"The Hostel Facility Scheme, introduced by the HPBOCWWB , provides financial assistance ranging from ₹15,000 to ₹20,000 annually. This support covers accommodation, boarding, and food expenses for the children of registered worker while they reside in a hostel.",,[],hfshpbocwwb,"['Construction Workers', 'Building Worker', 'Labour', 'Financial Assistance', 'Hostel']",Search
Scheme of Assistance for Common Environment Infrastructure: Scheme of Assistance for Strengthening the Regulation and Environmental Compliance,,"['Business & Entrepreneurship', 'Agriculture,Rural & Environment']","The scheme ""Scheme of Assistance for Common Environment Infrastructure"" under the Gujarat Industrial Policy aims to provide incentives for environmental compliance to ensure long-term economic and ecological balance.

",,[],saceiasre,"['Entrepreneurship', 'Environment Infrastructure', 'Environmental Compliance']",Search
Centrally-Sponsored Scheme Of Pre-Matric Scholarship For Scheduled Caste Students Studying In Classes 9th & 10th,Ministry Of Social Justice and Empowerment,"['Education & Learning', 'Social welfare & Empowerment']","A scholarship scheme by Ministry of Social Justice & Empowerment for regular, full-time students from Scheduled Castes studying in Class 9th and 10th in a Govt. School / a School recognized by Govt. / CBSE / State Board of Secondary Education.",,[],pre-sc,"['Pre Matric', 'Scholarship', 'Scheduled Caste', 'Student', 'Social Welfare', 'Person With Disability']",Search
Kishori Balika Yojana (Madhya Pradesh),,"['Women and Child', 'Skills & Employment', 'Health & Wellness']","The scheme ""Kishori Balika Yojana"" by the Department of Women and Child Development, Government of Madhya Pradesh aims to provide vocational, health, and hygiene training to adolescent girls. Through this scheme, training and material assistance are provided to the girls.",,[],sfagmp,"['Girl', 'Anganwadi', 'Development', 'Training', 'Workshop', 'Skill', 'Health', 'Vocational', 'Education']",Search
INDIRAMMA Widow Pension (Urban),,"['Social welfare & Empowerment', 'Women and Child']","""INDIRAMMA Widow Pension (Urban)"" scheme aims to provide monthly pensions to widows irrespective of their age. To be eligible, they should be from a BPL family, be a resident of a district of Andhra Pradesh, and not be covered under any other Pension Scheme.",,[],iwp-urban,"['Widow', 'Woman', 'Urban', 'Below Poverty Line', 'BPL', 'Pension']",Search
Scheme for Enhancement of Technical Competence and Manpower: Scheme of Financial Assistance for Tuition Fees for Enhancement of Skill,,['Skills & Employment'],"The ""Scheme for Enhancement of Technical Competence and Manpower"" under the Gujarat Industrial Policy aims to bridge the industry’s skill gap, boost employment, and align workforce training with evolving technology and business needs.

",,[],setctfes,"['Technical Competence', 'Manpower Solution', 'Industries', 'Skill Development']",Search
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Interest Subsidy (Manufacturing Sector),,['Business & Entrepreneurship'],"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" aims to support SC/ST entrepreneurs and strengthen MSMEs, making them globally competitive.

",,[],bauuyisms,"['Business', 'Entrepreneurship', 'MSMEs', 'Start Up', 'Scheduled Caste', 'Scheduled Tribe']",Search
"Incentives to Women Entrepreneurs Scheme, 2008",,['Business & Entrepreneurship'],"""Incentives to Women Entrepreneurs Scheme, 2008"" aimed to encourage women entrepreneurship and promote self-employment by providing additional incentives such as interest subsidies and preferential treatment under capital contribution schemes. The scheme benefited women-owned industrial units.",,[],iwes,"['Incentive', 'Woman', 'Entrepreneur', 'Subsidy', 'Industry']",Search
Haryana State Merit Scholarship Scheme,,['Education & Learning'],"The scheme aims to support meritorious students from economically backward sections in pursuing higher education. Under this scheme, financial assistance is provided to students pursuing Degree, Post-Graduate, and Doctorate courses.",,[],smcsugpg,"['Student', 'Post Graduation', 'Doctorate Course', 'Under Graduation', 'Scholarship', 'Merit']",Search
INDIRAMMA Disabled Pension (Rural),,['Social welfare & Empowerment'],"""INDIRAMMA Disabled Pension (Rural)"" scheme aims to disburse monthly pensions to the individuals 18 years or above in age and having a disability of 40% or above. To be eligible, they should be from a BPL family, be a resident of the district, and not be covered under any other Pension Scheme.",,[],idp-andhra,"['Disability', 'Pension', 'Below Poverty Line', 'BPL', 'Rural', 'Village']",Search
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to GIDC for Developing Multi-Storied Shed in Estates,,['Business & Entrepreneurship'],"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" aims to support SC/ST entrepreneurs and strengthen MSMEs, making them globally competitive.",,[],bauuyadmse,"['Business', 'Entrepreneurship', 'MSMEs', 'Start Up', 'Multi Storied Shed', 'Scheduled Caste', 'Scheduled Tribe']",Search
Divyangjan Scholarship Scheme,,"['Social welfare & Empowerment', 'Education & Learning', 'Health & Wellness']","""Divyangjan Scholarship Scheme"" provides financial assistance for the education and training of differently-abled children, who are regular students in a school or college. The application needs to be submitted to the District Office, Panchayat and Social Welfare / Janpad Panchayat Office.",,[],dssmp,"['Education', 'Student', 'Disability', 'Scholarship', 'Financial Assistance']",Search
Disabled Marriage Incentive Scheme,,['Social welfare & Empowerment'],The objective of the scheme is to provide financial assistance for marriage with a view to social rehabilitation of persons with disabilities who do not fall under the category of income tax payers.,,[],dwis,"['Financial Assistance', 'Marriage', 'Disability', 'Spouse', 'Incentive']",Search
Grant-in-Aid Scheme to Provide Financial Assistance to the Mahila Mandals,,"['Skills & Employment', 'Women and Child']","""Grant-in-Aid Scheme to Provide Financial Assistance to the Mahila Mandals"" aims to provide financial assistance to Mahila Mandals for training and self-employment activities. The scheme benefits registered Mahila Mandals in Goa, encouraging women's socio-economic development.",,[],giaspfamm,"['Woman', 'Employment', 'Training', 'Financial Assistance']",Search
Rajiv Gandhi Scholarship Scheme,,['Education & Learning'],"The scheme aims to encourage brilliant students and inculcate a spirit of competition among them. Under this scheme, scholarships/incentives are provided to meritorious students studying in Class VI to Class XII in government schools.",,[],eees,"['Scholarship', 'Student', 'Topper', 'Merit', 'Award', 'High School', 'Secondary School']",Search
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Interest Subsidy (Service Sector)",,['Business & Entrepreneurship'],"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.
",,[],samsmeisss,"['Business', 'Entrepreneurship', 'MSMEs', 'Start Up', 'Interest Subsidy']",Search
Transport Loan Scheme,,"['Transport & Infrastructure', 'Business & Entrepreneurship']","""Transport Loan Scheme"" aims to promote self-employment among target groups by providing term loans for Light Motor Vehicles. The scheme benefits Scheduled Castes, Other Backward Classes, Minorities, and Safai Karamcharis with financial assistance up to ₹5,00,000/-.",,[],tls-delhi,"['Loan', 'Employment', 'Entrepreneurship', 'Scheduled Caste', 'Scheduled Tribe', 'Minority', 'Safai Karmachari', 'Transport']",Search
Death Assistance Scheme (BBOCWWB),,['Social welfare & Empowerment'],"The ""Death Assistance"" scheme provides financial assistance to the legal heir in the case of natural death or accidental death of the registered worker. If the death occurs during a disaster and a grant has already been given by Disaster Management, only ₹1,00,000/- will be payable by the Board.",,[],dasbbocwwb,"['Construction Workers', 'Building Worker', 'Death', 'Financial Assistance']",Search
Financial Assistance for Cremation (BBOCWWB),,['Social welfare & Empowerment'],"The scheme ""Financial Assistance for Cremation"" by the Bihar Building & Other Construction Workers Welfare Board, Labour Resources Department, Government of Bihar, provides financial assistance of ₹5,000/-to the dependents of the deceased worker for performing cremation.",,[],fafcbbocwwb,"['Construction', 'Building', 'Labour', 'Financial Assistance', 'Worker', 'Death']",Search
"Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to basic industrial infrastructure (Water, Gas and Approach Road)",,['Business & Entrepreneurship'],"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" aims to support SC/ST entrepreneurs and strengthen MSMEs, making them globally competitive.",,[],bauuyabii,"['Business', 'Entrepreneurship', 'MSMEs', 'Start Up', 'Scheduled Caste', 'Scheduled Tribe', 'Industrial Infrastructure']",Search
Gujarat Textile Policy: Assistance to SHG for Job Work (Fiscal Incentives to Labour Intensive Unit),,['Business & Entrepreneurship'],"The ""Gujarat Textile Policy"" introduced by the Industries and Mines Department aims to create a vibrant Textile Sector ecosystem and generate enormous employment opportunities in the State.

",,[],gtpasjliu,"['Business', 'Entrepreneurship', 'MSMEs', 'Textile Industry', 'Labour Intensive Unit']",Search
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Patent Registration",,['Business & Entrepreneurship'],"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.",,[],samsmeapr,"['Business', 'Entrepreneurship', 'MSMEs', 'Start Up']",Search
Educational Study Scheme,,"['Education & Learning', 'Banking,Financial Services and Insurance', 'Social welfare & Empowerment']","The ""Educational Study Scheme"" provides financial assistance in the form of loans for self-supporting graduate-level courses in professional fields such as Medical, Dental, Engineering, Technology, Pharmacy, Architecture, Nursing, Homeopathy, Veterinary, and similar disciplines.",,[],essg,"['Study Loan', 'Education', 'Tuition Fee']",Search
Bunkar Parivar Sahayata Yojana,,['Social welfare & Empowerment'],"""Bunkar Parivar Sahayata Yojana"" aims to provide immediate financial assistance to families of weavers in case of sudden death. The scheme benefits the families of working weavers who are members of primary weaver cooperative societies by providing financial support of ₹20,000/-.",,[],bpsyc,"['Weaver', 'Family', 'Financial Assistance', 'Handloom', 'Death']",Search
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Technology Acquisition",,['Business & Entrepreneurship'],"The ""Scheme for Assistance to Micro, Small and Medium Enterprises (MSME)"" launched by the Industries and Mines Department aims to position Gujarat as a global business hub, promoting sustainable manufacturing, MSME growth, and export competitiveness.
",,[],samsmeata,"['Business', 'Entrepreneurship', 'MSMEs', 'Start Up']",Search
Education Loan Scheme under NSKFDC- Haryana,,"['Banking,Financial Services and Insurance', 'Education & Learning']",This scheme offers educational loans of up to ₹10 lakhs for studies within India and up to ₹20 lakhs for studies abroad. These loans are available to eligible students pursuing regular full-time recognized professional/technical courses in India or abroad. ,,[],elsnskfdch,"['Education Loan', 'NSKFDC', 'HSFDC', 'Safai Karamcharis', 'Students', 'Abroad']",Search
Education Loan Scheme under NSFDC- Haryana,,"['Banking,Financial Services and Insurance', 'Education & Learning']",This scheme offers educational loans of up to ₹10 lakhs for studies within India and up to ₹30 lakhs for studies abroad. These loans are available to eligible students pursuing regular full-time recognized courses in India or abroad. ,,[],elsnsfdc,"['NSFDC', 'HSFDC', 'Education Loan', 'Scheduled Caste', 'Student']",Search
Micro Finance Scheme- Credit Line 2 for Minority Community,,"['Banking,Financial Services and Insurance', 'Business & Entrepreneurship']","The scheme is implemented by the Haryana Backward Classes &d Economically Weaker Sections Kalyan Nigam. Under the scheme, small loans of ₹1,50,000/- per beneficiary are provided to members of Self-Help Groups (SHGs), either directly or through the SHGs.",,[],mfs-cl2mc,"['Micro Finance', 'Credit Line', 'Minority Community', 'Loan', 'SHG']",Search
Sikkim Grant of Scholarship to Students with Disabilities Scheme,,"['Social welfare & Empowerment', 'Women and Child', 'Education & Learning']","The Government of Sikkim has introduced the Sikkim Grant of Scholarship to Students with Disabilities Scheme, 2014. This scheme aims to provide financial assistance to differently-abled students to help them secure academic education and technical or professional training.",,[],sgssds,"['Education', 'Student', 'Financial Assistance', 'Person With Disability']",Search
Professional and Self Employment Scheme (HSFDC),,"['Banking,Financial Services and Insurance', 'Business & Entrepreneurship']","Under this scheme, the Corporation provides loans/benefits to individuals from BPL families, whose annual family income does not exceed ₹1,80,000/-, in rural & urban areas. These loans support self-employment activities in fields such as legal profession, Chartered Accountancy, medical practice etc.",,[],pseshsfdc,"['Professional', 'Self Employment', 'HSFDC', 'Loan', 'BPL', 'Scheduled Caste']",Search
Poultry Farming Scheme (HSFDC),,"['Business & Entrepreneurship', 'Banking,Financial Services and Insurance']","Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas for self-employment income generating activities such as poultry farming.",,[],pfshsfdc,"['Poultry Farming', 'HSFDC', 'Scheduled Caste', 'Loan', 'Self-employment', 'Subsidy']",Search
Term Loan Scheme- Credit Line 2 for Minority Community,,"['Banking,Financial Services and Insurance', 'Business & Entrepreneurship']","The scheme is implemented by the Haryana Backward Classes and Economically Weaker Sections Kalyan Nigam. Under this scheme, loans of up to ₹30,00,000/- are provided at a concessional interest rate to individuals from minority communities to enhance their employability.",,[],tlscl2mc,"['Term Loan', 'Credit Line', 'Minority Community', 'Employment']",Search
 The West Bengal Incentive Scheme: Reimbursement of Stamp Duty and Registration Fee,,['Business & Entrepreneurship'],"“Reimbursement of Stamp Duty and Registration Fee” incentives under the “WBIS” scheme implemented by the Dept. of Tourism, Government of West Bengal, aims to provide a reimbursement of stamp duty and registration fee paid by the eligible units for the purpose of registration of documents.",,[],wbisrsdrf,"['Tourism', 'Incentives', 'Stamp Duty', 'Tourism Units', 'Entrepreneurship', 'Subsidy', 'Reimbursement', 'Adventure', 'Registration Fee']",Search
Industrial Sector Scheme (HSFDC),,"['Banking,Financial Services and Insurance', 'Business & Entrepreneurship']","Under this scheme, the Corporation provides loans/benefits to individuals from BPL families, whose annual family income does not exceed ₹1,80,000/-, in both rural & urban areas for various self-employment income-generating activities such as carpentry, leather and leather goods manufacturing, etc.",,[],isshsfdc,"['Industrial Sector', 'HSFDC', 'Loan', 'BPL', 'Scheduled Caste', 'Trade', 'Business', 'Self-Employment']",Search
H.P. Swaran Jayanti Middle Merit Scholarship Scheme,,['Education & Learning'],"The “H.P. Swaran Jayanti Middle Merit Scholarship Scheme” scheme was launched by the Department of Elementary Education, Government of Himachal Pradesh for students studying in Class V is meant to identify the talent and nurture it at an early stage.",,[],hpsjmmssgs,"['School', 'Student', 'Scholarship', 'Class V']",Search
Financial Assistance to War Widows of Defence Forces,,"['Social welfare & Empowerment', 'Women and Child']","Under the scheme, financial assistance of ₹3,000/- per month shall be granted to War Widows of Defence Force Personnel’s (Army, Navy & Air Force) who were killed in action during declared war of 1962, 1965 & 1971 in addition to family pension already getting from Government of India.",,[],fawwdf,"['Financial Assistance', 'War', 'Widow', 'Defence Forces', 'Sainik']",Search
Marriage Assistance for the Construction Workers,,"['Social welfare & Empowerment', 'Women and Child']","The ""Marriage Assistance for the Construction Workers"" by the Sikkim BOCW Welfare Board, Labour Department, is a welfare scheme of the board that provides Marriage benefits in the form of financial assistance to the eligible registered women members & their immediate dependents of the board.",,[],maftcwsb,"['Labour', 'Women', 'Construction Workers', 'Marriage', 'Financial Assistance']",Search
Sanctioning of Touch Phone to Hearing Challenged – Speech Impaired,,['Social welfare & Empowerment'],"The ""Sanctioning of Touch Phone to Hearing Challenged – Speech Impaired"" aims to provide touch phones to hearing and speech-impaired individuals who know sign language as per the Action Plan 2017-18. The Assistant Directors, Department for the Welfare of Different, distribute the touch phones. ",,[],stphcsi,"['Social Welfare', 'Empowerment', 'Hearing Challenged']",Search
Assistance to Voluntary Organizations Working for Welfare of OBCs ,Ministry Of Social Justice and Empowerment,"['Education & Learning', 'Social welfare & Empowerment', 'Skills & Employment']","The ""Assistance to Voluntary Organizations Working for Welfare of OBCs"" scheme aims to involve the voluntary sector in improving the educational and socio-economic conditions of the target group i.e. OBCs to upgrade skills to enable them to start income-generating activities on their own.",,[],avowwobc,"['Empowerment', 'Other Backward Class', 'NGO', 'Empolyment']",Search
Jharkhand Rajya Fasal Rahat Yojana,,"['Agriculture,Rural & Environment']","The scheme was launched by the Department of Agriculture, Animal Husbandry & Cooperative, Government of Jharkhand. This scheme is mainly to provide financial assistance to the farmers in the event of crop damage due to any natural calamity and natural accidents.",,[],jrfry,"['Crop Loss', 'Farmer', 'Agriculture', 'Natural Calamity']",Search
Ex-Gratia Grant for Disability to Defence Forces Personnel,,['Social welfare & Empowerment'],"Under the scheme, the ex-gratia grant will be given to those personnel of the Defence Forces hailing from Haryana who get disabled for life and are boarded out of service due to disability declared as in war/operation, in operational area, terrorist activities & natural calamities, etc.",,[],e-ggddfp,"['Ex-Gratia', 'Grant', 'Disability', 'Defence Forces Personnel', 'PwD', 'Sainik']",Search
Bharati Scheme for Education - Professional Education Course,,"['Education & Learning', 'Women and Child']","The ""Bharati Scheme for Education - Professional Education Course"" encourages Brahmin students of Andhra Pradesh to continue their education. Under this scheme, financial assistance for the academic year will be granted to eligible poor Brahmin student applicants.",,[],bse-pec,"['Financial Assistance', 'Brahmin Community', 'Professional Course']",Search
Education Development Scholarship for Single Girl Child,,"['Education & Learning', 'Women and Child']","The scheme was launched by School Education Department, Govt. of Madhya Pradesh to ensure continuity of education for girl students who are the only daughters of their parents. Under this scheme, eligible girl students who are only child of their parents receive a scholarship of ₹5,000/- per year.",,[],edssgc,"['Education', 'Scholarship', 'Single Girl Child', 'Student']",Search
Bhargava Matching Scheme,,"['Business & Entrepreneurship', 'Social welfare & Empowerment']","The ""Bhargava Matching Scheme"" aims to encourage Brahmin Community members who would like to contribute by creating permanent Assets or take up socially relevant activities for the community viz. Andhra Kesari Bhavan (Community Hall), Viswanadha Aarama Kshetram, Old Age Homes, Skill Development, etc",,[],bms,"['Financial Assistance', 'Organization', 'Skill Development', 'Brahmin Community']",Search
Scheme Of Provision Of Subsidized Rams To Sheep Breeders,,"['Agriculture,Rural & Environment', 'Banking,Financial Services and Insurance']","The Department of Animal Husbandry, Government of Himachal Pradesh has introduced a scheme named ""Scheme of provision of subsidized Rams to Sheep Breeders""  to improve the Quality and Quantity of Wool being produced in the state.",,[],rams-to-sheep-breeders,"['Sheep Farming', 'Income Generation Opportunities', 'Subsidized Rams', 'Sheep Breeders']",Search
Mukhyamantri Vidwa Evam Ekal Naari Awas Yojana,,"['Women and Child', 'Social welfare & Empowerment', 'Housing & Shelter']","The ""Mukhyamantri Vidwa Evam Ekal Naari Awas Yojana"" was launched by the Department of Social Justice and Empowerment, Government of Himachal Pradesh. The scheme aims to provide financial grants for the construction of houses to economically weak widows and single women.",,[],mmvenay,"['Financial Assistance', 'Women', 'Widow', 'Housing']",Search
Cost of Spectacle for the Construction Workers  ,,['Social welfare & Empowerment'],"The “Cost of Spectacle for the Construction Workers” scheme by the BOCW Welfare Board, Labour Department,West Bengal, is a welfare scheme that provides reimbursement for purchasing spectacle to each registered beneficiary if required.
",,[],cosftcw,"['Labour', 'Building Worker', 'Construction Worker', 'Spectacle Purchase']",Search
Integrated Social Security Scheme: Old Age Pension,,['Social welfare & Empowerment'],"Under this scheme, pension is provided to old aged persons males (60 years & above) and females (55 and above) and who are destitute in the sense of having no means of subsistence from their own source of income or through financial support from family members or other sources.",,[],isssoap,"['Old Age', 'Pension', 'ISSS', 'BPL']",Search
Talab Matsyiki Vishesh Sahayata Yojana (Anusuchit Jaati/Janajati/Ati Pichhada),,"['Agriculture,Rural & Environment', 'Skills & Employment']","The Bihar Government's Animal and Fisheries Resources Department has introduced the ""Talab Matsyiki Vishesh Sahayata Yojana (Anusuchit Jaati/Janajati/Ati Pichhada)"" aims to support fish farmers by providing financial and technical assistance for pond construction, installation of necessary equipment",,[],tmvsy-ajjap,"['Scheduled Caste', 'Tribe', 'Most Backward', 'Farmers']",Search
Scheme for Supportive Money to the Parents of Transgender Children,Ministry Of Social Justice and Empowerment,"['Social welfare & Empowerment', 'Women and Child']","The ""Scheme for Supportive Money to the Parents of Transgender Children"" aims to provide financial assistance of ₹1,000/- to the parents of transgender children. Transgender persons face stigma and discrimination in almost every sphere of their life including within the group, health facilities.",,[],sfsmttpotc,"['Financial Assistance', 'Transgender', 'Child']",Search
Biju Patnaik Sports Award for Excellence in Sports Journalism,,['Sports & Culture'],The award is given to the journalists who have done significant work in the sphere of journalism for the promotion and popularization of sports and games as well as fighting for the causes of sports and sportspersons in the State of Odisha.,,[],bpsaesj,"['Sports', 'Journalism', 'Award']",Search
Research (PhD) Scholarship for SC/ST Students,,['Education & Learning'],"The scheme is implemented by the Higher Education Department, Govt. of Madhya Pradesh, offers financial support for PhD research work to SC/ST students. Eligible students receive ₹16,000/- per month, totaling ₹1,92,000/- per year, which is directly transferred to their bank accounts.",,[],rphdsscsts,"['Student', 'Scholarship', 'Scheduled Caste', 'Scheduled Tribe', 'PhD', 'Research']",Search
State Government ST Scholarship (Class 9 to 10),,['Education & Learning'],"The scheme was launched by the Tribal Affairs Department, Government of Madhya Pradesh, aims to encourage education among Scheduled Tribe students and improve their educational status. This scheme provides scholarships to Scheduled Tribe students in Classes 9 and 10.",,[],sgstsc9t10,"['Student', 'Scholarship', 'Scheduled Tribe', 'Pre-Matric']",Search
Sanskrit Scholarship,,['Education & Learning'],"Under this scheme, students studying Sanskrit at various levels—Post Graduate (M.A. Classic), Acharya, Graduate (B.A. Classic), Shastri, Uttar Madhyama, Purva Madhyama, and Prathama—in any government or aided non-government college receive a monthly scholarship of ₹300/- for 10 months.",,[],ssmp,"['Sanskrit', 'Scholarship', 'Student']",Search
Mukhyamantri Bayan Jyoti Yojana,,['Social welfare & Empowerment'],"The Scheme will be implemented ""Mukhyarrantri Bayan Jyoti Yojana"" (MBJY) under Chief Minister's Special Package for Handloom weavers. ",,[],mbjy,"['Handloom', 'Weavers', 'Higher Production']",Search
Integrated Scholarship Scheme,,['Education & Learning'],"This scheme offers scholarships for PhD, M.Phil., Postgraduate (qualification-based and qualification cum instrument-based), and sports, as well as merit-based scholarships for graduates, ranging from ₹300/- to ₹600/- per month.",,[],issmp,"['Scholarship', 'Student', 'Higher Education', 'Sports', 'Training']",Search
Bhraman - Darshan Yojana,,"['Agriculture,Rural & Environment']","The ""Bhraman-Darshan Yojana"" was launched by the Animal and Fisheries Resources Department, Government of Bihar aims to educate fish farmers in Bihar about the latest fisheries techniques through organized excursions, enabling them to adopt and implement these technologies in their water source.....",,[],bdy,"['Opportunities', 'Fish Farmer', 'Technologies']",Search
Sudama Shishyavritti Scheme (Class 11th and 12th),,['Education & Learning'],"Under this scheme, scholarships are provided to students studying in Class 11 and Class 12 in government schools who reside in a hostel, have an annual family income of less than ₹1,00,000/-, and belong to the Below Poverty Line (BPL) category.",,[],scymp,"['Student', 'Sudama', 'Scholarship', 'BPL']",Search
